Source,Title,Content,Section,URL,Date
La Jornada: Deportes,récord mil asistente pelea dubois joshua wembley,londres daniel dubois estrella boxeo mundial campeón orbe anthony joshua disputar cinturón peso pesado federación internacional boxeo fib multitud récord mil persona catedral futbol wembley,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a09n2dep?partner=rss,21/09/2024
La Jornada: Deportes,américa formar jugador jardine,américa club minuto juvenil timonel plantel andré jardine mostrar regla menor intención impulsar joven talento señalar prioridad liga mx ganar torneo formación jugador beneficio selección méxico,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a11n3dep?partner=rss,21/09/2024
La Jornada: Deportes,fátima herrera miedo historia ring parís,surgimiento referente deporte mujer comenzar forjar talento proeza jackie nava ana maría guerrera torres fátima herrera pelear llegar parís historia convertir él boxeadora mexicano victoria juegos olímpicos,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a09n1dep?partner=rss,21/09/2024
La Jornada: Deportes,pumas femenil dejar escapar punto cu,pese generar oportunidad gol pumas lograr empate querétaro escapar valioso punto permitir afianzar él lugar clasificación general torneo apertura liga mx femenil,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a11n2dep?partner=rss,21/09/2024
La Jornada: Deportes,cae dupla,dupla carlos zverev caer pareja estadunidense formado taylor fritz ben shelton dejar marcador jornada laver cup disputar berlín impulsado roger federer competencia exhibición inspirado ryder cup golf llamado homenaje jugador australiano rod laver enfrentar jugador europa número representante resto mundo,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a10n3dep?partner=rss,21/09/2024
La Jornada: Deportes,méxico perder penales leyenda fifa,plantel repleto figura época equipo leyenda fifa monterrey protagonizar partido exhibición congregar mil persona estadio bbva actual casa rayados sed méxico copa mundo andrea pir él dwayne rosario youri djorkaeff marcar internacional ex seleccionado tricolor luis hernández miguel layún jorge campos lograr empate penales representante fifa imponer dar inactividad participante retiro profesional organizador ajustar dimensión terreno juego leyenda fifa estar arquero gianluigi buffon alessandro piero didier drogba carles puyol xavi hernández diego forlán méxico destacar oribe peralta luis hernádez jorge campos guillermo franco paul aguilar técnico bora milutinovic,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a27n2dep?partner=rss,21/09/2024
La Jornada: Deportes,tuzos salir crisis derrotar puebla visita,pachuca reordenar pieza rompecabeza victoria fecha anterior tuzos volver ganar liga mx imponer él puebla estadio cuauhtémoc debilidad defensivo franja contundencia delantero salomón rondón nelson deossa figura ataque,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a11n1dep?partner=rss,21/09/2024
La Jornada: Deportes,jaime munguía regresar ganar nocaut,jaime munguía regresar ring plan duro pelea canadiense erik bazinyan glendale arizona pugilista mexicano conseguir victoria vía nocaut décimo asalto poderoso gancho mano izquierdo ocasionar derrumbe rival bazinyan intentar parar él recibir réferi encontrar fuerza pierna aceptar derrota combate mano tijuanense título plata peso supermediano cmb pelea fuerte pesado momento bazinyan lastimar tener abriéndolo mejor pelea año gustar enfrentar caleb plant édgar berlanga declarar munguía pelear derrota tapatío saúl canelo álvarez,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a27n1dep?partner=rss,21/09/2024
La Jornada: Deportes,verstappen castigado lenguaje grosero norris liderar práctico,max verstappen caer espiral error perseguir red bull jornada ensayo libre premio singapur tricampeón mundial fórmula lograr cuarto tiempo ronda lugar quejar él falta adherencia goma segundo líder lando norris mclaren brillar circuito urbano bay monegasco charles leclerc carlos sainz ferrari mexicano sergio pérez ubicar octavo puesto,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a10n1dep?partner=rss,21/09/2024
La Jornada: Deportes,ohtani desata euforio prensa japonés,proeza shohei ohtani convertir pelotero ligas jonrón base robado temporada celebrar edición extra periódico leyerar camino trabajo viernes japón,Deportes,https://www.jornada.com.mx/2024/09/21/deportes/a10n2dep?partner=rss,21/09/2024
La Jornada: Economía,carlos méxico sa,ernesto zedillo depredador instalado pinos régimen neoliberal gerente estirpe dedicar entregar bien nación capital sello sexenal ilegal rescate banca vía fobaproa personaje intentar reivindicar derecha autóctono allá interés nacional,Economía,https://www.jornada.com.mx/2024/09/21/opinion/016o1eco?partner=rss,21/09/2024
La Jornada: Economía,reserva federal eu referente política monetario global,banco central país realizar serie movimiento tasa interés semana encabezado reserva federal unidos fed miércoles recortar tasa referencia,Economía,https://www.jornada.com.mx/2024/09/21/economia/016n1eco?partner=rss,21/09/2024
La Jornada: Economía,innecesario reforma fiscal sexenio,presidente andrés manuel lópez obrador necesario reforma fiscal futuro mantener fórmula combate corrupción política austeridad republicano,Economía,https://www.jornada.com.mx/2024/09/21/economia/014n1eco?partner=rss,21/09/2024
La Jornada: Economía,terminar semana peso pérdida ciento,peso cerrar retroceso ciento semana marcado anuncio política monetario banco central unidos afectado cautela inversionista aguardar anuncio banco méxico próximo semana,Economía,https://www.jornada.com.mx/2024/09/21/economia/014n2eco?partner=rss,21/09/2024
La Jornada: Economía,bdem recortar tasa cuarto punto anticipa encuesta,analista económico consultado citibanamex anticipar recorte punto porcentual tasa interés referencia banco méxico bdem reunión próximo semana estimar ubicar ciento cierre,Economía,https://www.jornada.com.mx/2024/09/21/economia/014n3eco?partner=rss,21/09/2024
La Jornada: Economía,china campo batalla apple huawei teléfono alto gama,modelo apple huawei salir venta simultáneo viernes china usuario larga fila adquirir dispositivo alto gama marca competir mercado chino importante ambos compañía,Economía,https://www.jornada.com.mx/2024/09/21/economia/016n2eco?partner=rss,21/09/2024
La Jornada: Economía,silvia ribeiro ayotzinapa impunidad olvido,paradero justicia tortuoso camino encubrimiento impunidad cumplir septiembre año desaparición forzado estudiante escuela normal raúl isidro burgos ayotzinapa asesinato persona estudiant,Economía,https://www.jornada.com.mx/2024/09/21/economia/015a1eco?partner=rss,21/09/2024
La Jornada: Economía,mexicana presentar avión embraer sumar flota,zumpango méx consolidar él industria transporte aéreo nacional mexicana aviación aerolínea mexicano presentar avión embraer modelo adquirir unidad aerolínea empezar recibir mayo,Economía,https://www.jornada.com.mx/2024/09/21/economia/015n1eco?partner=rss,21/09/2024
La Jornada: Cultura,lun representar escena magia infancia enigma existencia,magia infancia enigma existencia riesgo pérdida memoria entrelazar lun propuesta escénico llegar teatro artes centro nacional artes cenart semana,Cultura,https://www.jornada.com.mx/2024/09/21/cultura/a04n2cul?partner=rss,21/09/2024
La Jornada: Cultura,develacer amlo estatuo catarino garza rodríguez,lunes presidente andrés manuel lópez obrador inaugurar estatua honor revolucionario catarino garza rodríguez precursor alzamiento revolucionario dictadura porfirio díaz video definir garza rodríguez idealista soñador guardar circunstancia similar ernesto che guevara,Cultura,https://www.jornada.com.mx/2024/09/21/cultura/a05n2cul?partner=rss,21/09/2024
La Jornada: Cultura,xalapa indignar destrucción escultura posterior relleno zanja,coatl escultura monumental ceramista rocío sagaón laura navarro ubicado parque natura xalapa veracruz destruir usado relleno empresa contratado gobierno encabezar cuitláhuac garcía jiménez desarrollar proyecto naturalia refugio vida silvestre instalar bosque urbano,Cultura,https://www.jornada.com.mx/2024/09/21/cultura/a05n1cul?partner=rss,21/09/2024
La Jornada: Cultura,ó instrucciones salir agua desmontar mito ofelia mirada feminista,escuchar escena famoso frase pronuncia hamlet mujer cuestionar opción morir dormir soñar propuesta escénico ó instrucciones salir agua conjugar teatro físico danza repensar personaje shakesperiano ofelia mirada moderno feminista maría fernanda baez interpretar unipersonal iniciar temporada teatro milagro,Cultura,https://www.jornada.com.mx/2024/09/21/cultura/a04n1cul?partner=rss,21/09/2024
La Jornada: Cultura,angélica azuara recomendar jornada trinchera puesto periódico,angélica azuara puesto periódico trabajar año trinchera tocar evadir recibir dardo censura sexenio anterior ment panista cerrado,Cultura,https://www.jornada.com.mx/2024/09/21/cultura/a02n1cul?partner=rss,21/09/2024
La Jornada: Cultura,quedar corto hablar significar jornada méxico,año periodismo decir él diario figaro cine mundial redondel ovaciones noticias extra cochinada difusor noticia noticia lado panorama importante existir jornada lugar lector,Cultura,https://www.jornada.com.mx/2024/09/21/cultura/a03n1cul?partner=rss,21/09/2024
Expansión - Economía,slim criticar dinero gastar jubilado pedir combatir pobreza,hombre rico méxico recurso recibir actualmente mayor año deber usar él sacar millón persona pobreza extremo,Economía,https://expansion.mx/economia/2024/09/20/carlos-slim-critica-jubilados-y-pensiones-mexico,20/09/2024
Expansión - Economía,mexico necesitar política industrial acordar economía actual imco,centro investigación apuntar año valor agregado producción exportación manufacturero estancar,Economía,https://expansion.mx/economia/2024/09/10/mexico-politica-industrial-economia-imco,10/09/2024
Expansión - Tecnología,caso caliente tv anunciar apuesta transmitir champions league,compañía entrar guerra streaming deportivo captar nicho mercado consolidar principal negocio apuesta,Tecnología,https://expansion.mx/tecnologia/2024/09/20/el-caso-de-caliente-tv-de-anunciar-apuestas-a-transmitir-la-champions-league,20/09/2024
Expansión - Tecnología,cfe telecom perfilar ceo impulsar proyecto internet,fuente conocimiento tema interior compañía poner mesa nombre emiliano calderón mercado ceo estatal telecomunicación,Tecnología,https://expansion.mx/tecnologia/2024/09/18/nuevo-director-genera-general-de-cfe-telecom-quien-suena,18/09/2024
La Jornada: Deportes,extremis águilas rescatar valioso empate necaxa,gol agónico henry martín américa rescatar valioso empate necaxa hilvanar partido derrota ayer correspondiente jornada torneo apertura liga mx disputado estadio victoria aguascalientes,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a09n1dep?partner=rss,22/09/2024
La Jornada: Deportes,dubois noquea joshua retener cetro pesado,londres daniel dubois retener título pesado federación internacional boxeo fib noquear quinto asalto ex bicampeón anthony joshua defensa cinturón realizado estadio wembley,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a11n2dep?partner=rss,22/09/2024
La Jornada: Deportes,copa laver,equipo resto mundo tomar ventaja copa laver selección europa triunfo estadunidens taylor fritz imagen frances tiafoe alemán alexander zverev ruso daniil medvedev respectivamente fundamental comandado john mcenroe tomar delantera justa definir campeón acumulir punto berlín,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a10n3dep?partner=rss,22/09/2024
La Jornada: Deportes,cruz azul intratable vence chivas afianza superliderato,partido marcar agenda cruz azul clásico joven américa rivalidad guadalajara valor especial peso escenario importante máquina volver cantar victoria estadio ciudad deportes mantener él único líder liga mx seguir carrera campeonato,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a27n2dep?partner=rss,22/09/2024
La Jornada: Deportes,gobierno cdmx premiar millar atleta local,millar atleta capitalino premiar ayer participación juegos nacionales conade,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a11n1dep?partner=rss,22/09/2024
La Jornada: Deportes,leyendas pancracio regresar coliseo nacional luchador,hombre ocasión mujer máscara subir ring arena coliseo afición ovacionar importar rudo técnico cuadrilátero arriesgar vida espectáculo vistoso folclórico polémico deporte lucha libre místico octagón atlantis leyenda disciplina ayer representante histórico función motivo nacional luchador lucha libre,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a27n1dep?partner=rss,22/09/2024
La Jornada: Deportes,jiménez plan goleador brillar triunfo fulham,raúl jiménez anotar fulham liga premier inglés delantero mexicano año abrir marcador craven cottage newcastle united encaminar victoria quinto fecha,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a10n1dep?partner=rss,22/09/2024
La Jornada: Deportes,norris po él gp singapur checo,mexicano sergio pérez red bull entrar socavón arrancó fondo esperanzado neumático ayudar remontar terminar lejos piloto disputar título mundial fórmula calificación premio singapur ubicado lugar tapatío finalizar carrera memorable rendimiento lando norris mclaren tricampeón mundial max verstappen parrilla salida respectivamente,Deportes,https://www.jornada.com.mx/2024/09/22/deportes/a10n2dep?partner=rss,22/09/2024
La Jornada: Economía,tomar,semana iniciar dar report inflación venta menudeo indicador actividad económico balanza comercial anuncio política monetario,Economía,https://www.jornada.com.mx/2024/09/22/economia/015n3eco?partner=rss,22/09/2024
La Jornada: Economía,impulsar cre infraestructuro auto eléctrico,disposición administrativo materia electromovilidad emitido comisión reguladora energía cre impulsar desarrollo infraestructura automóvil eléctrico híbridos ordenamiento sistema eléctrico nacional sen regulador,Economía,https://www.jornada.com.mx/2024/09/22/economia/015n2eco?partner=rss,22/09/2024
La Jornada: Economía,joseph stiglitz kevin gallagher martín guzmán marilou uy especial jornada fmi destructivo recargo,,Economía,https://www.jornada.com.mx/2024/09/22/economia/014a1eco?partner=rss,22/09/2024
La Jornada: Economía,eu prohibir software hardwarir chino vehículo,washington departamento comercio unidos proponer lunes prohibir software hardware chino vehículo conectado autónomo carretera país preocupaciones seguridad nacional fuente reuters,Economía,https://www.jornada.com.mx/2024/09/22/economia/014n1eco?partner=rss,22/09/2024
La Jornada: Economía,cifras verde,llave programa planeación ciudad inteligente verde bicicleta recuperar relevancia proyecto urbano,Economía,https://www.jornada.com.mx/2024/09/22/economia/013n2eco?partner=rss,22/09/2024
La Jornada: Economía,tribunal x validar representante legal brasil,río janeiro red social x nombrar representante legal brasil exigencia volver funcionar país seguir suspendido cumplir requisito judicial tribunal supremo brasil plataforma social x propiedad elon musk presentar documento validir representante legal país mostrar sábado decisión judicial,Economía,https://www.jornada.com.mx/2024/09/22/economia/014n2eco?partner=rss,22/09/2024
La Jornada: Economía,seguridad energético amenazado nivel mundial tensión geopolítica wef,transición energético nivel global observar avance particular economía desarrollado china brasil obstante equidad retroceder tensión geopolítica causar incertidumbre seguridad energético revelar informe foro económico mundial wef sigla inglés,Economía,https://www.jornada.com.mx/2024/09/22/economia/015n1eco?partner=rss,22/09/2024
La Jornada: Economía,imperio bicicleta recuperar terreno pekín,pekín recién llegado pekín paranoia confundido certeza atropellar auto bicicleta motocicleta triciclo dar él empujón dejar él costado acera sobar él raspón risa asombro buscar curita tienda conveniencia,Economía,https://www.jornada.com.mx/2024/09/22/economia/013n1eco?partner=rss,22/09/2024
La Jornada: Cultura,manuel ahumada dibujante viejo punk joven morir,viejo punk joven morir manuel ahumada gonzalo rocha monero colaborador jornada elevar mirar cosmos acompañado dios azteca ángel astronauta apolo referencia fallecer personaje frecuente imaginario obra,Cultura,https://www.jornada.com.mx/2024/09/22/cultura/a05n1cul?partner=rss,22/09/2024
La Jornada: Cultura,elena poniatowska grito,madrugada septiembre grito independencia historia cura miguel hidalgo costilla pueblo dolores guanajuato rasgó cielo estallar movimiento independencia,Cultura,https://www.jornada.com.mx/2024/09/22/cultura/a04a1cul?partner=rss,22/09/2024
La Jornada: Cultura,brasil brasil revelar visión vibrante modernismo,berna exposición brasil brasil the birth of modernism brasil brasil nacimiento inaugurado zentrum paul klee ofrecer visión vibrante movimiento artístico país sudamericano obra artista autodidacta conocido internacionalmente obra expuesto salir brasil muestra coincidir temáticamente bienal venecia mitad artista presente participar,Cultura,https://www.jornada.com.mx/2024/09/22/cultura/a02n1cul?partner=rss,22/09/2024
La Jornada: Cultura,secretario arte cultura morena rendir informe actividad,secretario arte cultura comité ejecutivo nacional cen morena tomás pliego calvo participación comisión estatal arte cultura artista creador promotor gestor cultural colectivo cooperativo organizado plan acción secretaría realizar tarea actividad defensa cuarta transformación t promover cultura incluyente equitativo luchar lucha clasismo racismo machismo fascismo,Cultura,https://www.jornada.com.mx/2024/09/22/cultura/a03n2cul?partner=rss,22/09/2024
La Jornada: Cultura,entusiasta asistente osm festejar islas cu año unam,rugido puma resonar volumen sábado islas ciudad universitaria cu universidad nacional autónoma méxico unam celebrar aniversario concierto memorable cargo orquesta sinfónica minería osm,Cultura,https://www.jornada.com.mx/2024/09/22/cultura/a03n1cul?partner=rss,22/09/2024
Expansión - Economía,coparmex advertir reforma judicial afectar proyecto clave economía,organismo empresarial lamentar aprobación senado república decisión tomar voz,Economía,https://expansion.mx/economia/2024/09/11/reforma-judicial-coparmex,11/09/2024
Expansión - Economía,peso mexicano mantener unidad dólar,aprobación reforma judicial baja inflación eu moneda apreciar frente unidad dólar reportada cierre martes,Economía,https://expansion.mx/economia/2024/09/11/peso-mexicano-a-dolar-hoy-11-septiembre-cierre,11/09/2024
Expansión - Economía,méxico facilitar respaldar inversión eu marcelo ebrard,aprobar reforma judicial secretario economía reviveír postear video red social integración economía avanzar paso acelerado,Economía,https://expansion.mx/economia/2024/09/11/marcelo-ebrard-facilitara-y-respaldara-inversiones-eu,11/09/2024
Expansión - Economía,inversión extranjero caer atractivos nearshoring,falta energía eléctrico escasez agua mano obra infraestructura rebasado transporte poner freno decisión inversión,Economía,https://expansion.mx/economia/2024/09/11/cae-inversion-extranjera-en-estados-norte-nearshoring,11/09/2024
Expansión - Economía,comce esperar inversión mdd pese reforma judicial,presidente consejo empresarial mexicano comercio exterior destacar prever inversión extranjera directa cerrar millón dólares,Economía,https://expansion.mx/economia/2024/09/10/comce-inversiones-reforma-judicial,10/09/2024
Expansión - Economía,inflación cede banxico enfrentar reto bajar tasa interés,volatilidad tipo cambio generado avance reforma judicial representar freno banco central bajar tasa interés referencia,Economía,https://expansion.mx/economia/2024/09/10/inflacion-cede-banxico-enfrenta-retos-antes-de-bajar-tasas,10/09/2024
